Nome Escola,Dependência,Código INEP,Localização,Internet,Matrículas,Energia Adequada,Conexão adequada,Classificação da cobertura,Situação,Prestadora PBLE (Programa de Conectividade nas Escolas),Tecnologia PBLE,Vel. (mbps),Fonte de Monitoramento,Nível de conexão,Latitude,Longitude
ESCOLA ESTADUAL PADRE JOSE DELGARDES,Estadual,15035735,Rural,Sim,685,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,CLARO,Rede Celular,200.0,14172_CONECT_VELOCIDADE,Alguma internet e algum wifi para uso de gestores e professores,-1.5654042,-48.767437
ESCOLA ESTADUAL CONEGO BATISTA CAMPOS,Estadual,15035867,Urbana,Sim,1211,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,200.0,14172_CONECT_VELOCIDADE,Alguma internet para uso de gestores,-1.50363,-48.621983
ESCOLA ESTADUAL EDUARDO ANGELIM,Estadual,15035891,Urbana,Sim,1210,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,200.0,14172_CONECT_VELOCIDADE,Alguma internet e algum wifi para uso de gestores e professores,-1.5297565,-48.68943
ESCOLA ESTADUAL ACY DE JESUS BARROS PEREIRA - VILA SAO FRANCISCO,Estadual,15035921,Rural,Sim,712,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,-,-,200.0,14172_CONECT_VELOCIDADE,Alguma internet e algum wifi para uso de gestores e professores,-1.5274754,-48.644028
ESCOLA ESTADUAL JOSE MARIA DE MORAES,Estadual,15035956,Urbana,Sim,207,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,200.0,14172_CONECT_VELOCIDADE,Alguma internet e algum wifi para uso de gestores e professores,-1.5139084,-48.614407
ESCOLA ESTADUAL PROF JOSE MARIA MACHADO,Estadual,15035964,Urbana,Sim,773,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,200.0,14172_CONECT_VELOCIDADE,Alguma internet e algum wifi para uso de gestores e professores,-1.5256135,-48.618622
E M E I F IDALIA DA SILVA GURGEL,Municipal,15036014,Rural,Sim,73,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,SATÉLITE,100.0,EACE_CONECT_VEL_CONTRATADA,Alguma internet para uso de gestores,-1.4085131,-48.639076
E M E I F SANTO ANTONIO,Municipal,15036030,Rural,Sim,13,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,50.0,EACE_CONECT_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5664825,-48.574337
E M E I F ARAQUISSAL,Municipal,15036057,Rural,Não,17,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.5106996,-48.574165
E M E I F CONEGO EUGENIO G PANTOJA,Municipal,15036065,Rural,Sim,44,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,20.0,GESAC_VEL,Velocidade adequada para uso de gestores. professores e ocasional uso com alunos em laboratórios de informática,-1.4923916,-48.65825
E M E I F LUCILIA NUNES DOS SANTOS,Municipal,15036090,Rural,Sim,25,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,50.0,EACE_CONECT_VEL_CONTRATADA,Velocidade adequada para uso de gestores. professores e ocasional uso com alunos em laboratórios de informática,-1.5717372,-48.57805
E M E I F NOSSA SENHORA DO PERPETUO SOCORRO,Municipal,15036103,Rural,Sim,90,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,400.0,EACE_CONECT_VEL_CONTRATADA,Velocidade adequada e algum wifi para uso de gestores. professores e ocasional uso com alunos em sala de aula,-1.645349,-48.600548
E M E I F PREF LAURIVAL CUNHA,Municipal,15036111,Rural,Sim,449,Não,Não,2. Acesso inadequado - menos de 20 km,Velocidade não monitorada,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.4401441,-48.537579
E M E I F PROF JOAO QUEIROZ MAGNO,Municipal,15036120,Rural,Sim,19,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,CLARO,SATÉLITE,30.0,GESAC_VEL,Alguma internet e algum wifi para uso de gestores e professores,-1.6640671,-48.620613
E M E I F SANTA BERNADETH,Municipal,15036146,Rural,Sim,100,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,100.0,EACE_CONECT_VEL_CONTRATADA,Alguma internet para uso de gestores,-1.4441046,-48.69252
E M E F SANTA SOFIA,Municipal,15036154,Urbana,Sim,420,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,283.02,VEL_MAX_6M,Alguma internet e algum wifi para uso de gestores e professores,-1.5093875,-48.628204
E M E I F SUCURIJU,Municipal,15036162,Rural,Sim,18,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,400.0,EACE_CONECT_VEL_CONTRATADA,Alguma internet para uso de gestores,-1.5542738,-48.60758
E M E I F ARATICU,Municipal,15036170,Rural,Sim,35,Sim,Não,2. Acesso inadequado - menos de 20 km,Velocidade não monitorada,CLARO,Rede Celular,0.0,0,Alguma internet para uso de gestores,-1.5561711,-48.617016
